id,url,primaryTitle,type,description,primaryImage,contentRating,startYear,endYear,releaseDate,budget,grossWorldwide,isAdult,runtimeMinutes,averageRating,numVotes
tt0167261,https://www.imdb.com/title/tt0167261/,The Lord of the Rings: The Two Towers,movie,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_.jpg,PG-13,2002,,2002-12-18,94000000,938242927,false,179,8.8,1859526
tt0137523,https://www.imdb.com/title/tt0137523/,Fight Club,movie,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_.jpg,R,1999,,1999-10-15,63000000,101321009,false,139,8.8,2442066
tt1375666,https://www.imdb.com/title/tt1375666/,Inception,movie,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg,PG-13,2010,,2010-07-16,160000000,839030630,false,148,8.8,2662920
tt0080684,https://www.imdb.com/title/tt0080684/,Star Wars: Episode V - The Empire Strikes Back,movie,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_.jpg,PG,1980,,1980-06-18,18000000,550016086,false,124,8.7,1430745
tt0133093,https://www.imdb.com/title/tt0133093/,The Matrix,movie,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_.jpg,R,1999,,1999-03-31,63000000,467840449,false,136,8.7,2139791
tt0099685,https://www.imdb.com/title/tt0099685/,Goodfellas,movie,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_.jpg,R,1990,,1990-09-21,25000000,47055110,false,145,8.7,1314511
tt0073486,https://www.imdb.com/title/tt0073486/,One Flew Over the Cuckoo's Nest,movie,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_.jpg,R,1975,,1975-11-19,3000000,109115366,false,133,8.7,1109986
tt0816692,https://www.imdb.com/title/tt0816692/,Interstellar,movie,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_.jpg,PG-13,2014,,2014-11-07,165000000,732121575,false,169,8.7,2311411
tt0114369,https://www.imdb.com/title/tt0114369/,Se7en,movie,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_.jpg,R,1995,,1995-09-22,33000000,327333559,false,127,8.6,1893614
tt0038650,https://www.imdb.com/title/tt0038650/,It's a Wonderful Life,movie,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_.jpg,PG,1946,,1947-01-07,3180000,9767242,false,130,8.6,524675
tt0047478,https://www.imdb.com/title/tt0047478/,Seven Samurai,movie,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_.jpg,Not Rated,1954,,1956-11-19,125000000,1065287,false,207,8.6,381493
tt0102926,https://www.imdb.com/title/tt0102926/,The Silence of the Lambs,movie,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_.jpg,R,1991,,1991-02-14,19000000,272742922,false,118,8.6,1621074
tt0120815,https://www.imdb.com/title/tt0120815/,Saving Private Ryan,movie,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_.jpg,R,1998,,1998-07-24,70000000,482351251,false,169,8.6,1558404
tt0317248,https://www.imdb.com/title/tt0317248/,City of God,movie,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_.jpg,R,2002,,2004-02-13,3300000,30680793,false,130,8.6,832119
tt0120689,https://www.imdb.com/title/tt0120689/,The Green Mile,movie,"Paul Edgecomb, the head guard of a prison, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a special gift.",https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg,R,1999,,1999-12-10,60000000,286801374,false,189,8.6,1473850
tt0118799,https://www.imdb.com/title/tt0118799/,Life Is Beautiful,movie,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_.jpg,PG-13,1997,,1997-12-20,20000000,230099013,false,116,8.6,772572
tt0103064,https://www.imdb.com/title/tt0103064/,Terminator 2: Judgment Day,movie,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_.jpg,R,1991,,1991-07-03,102000000,517778573,false,137,8.6,1223293
tt0076759,https://www.imdb.com/title/tt0076759/,Star Wars: Episode IV - A New Hope,movie,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_.jpg,PG,1977,,1977-05-25,11000000,775398507,false,121,8.6,1498133
tt0088763,https://www.imdb.com/title/tt0088763/,Back to the Future,movie,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_.jpg,PG,1985,,1985-07-03,19000000,384577472,false,116,8.5,1366617
tt0245429,https://www.imdb.com/title/tt0245429/,Spirited Away,movie,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_.jpg,PG,2001,,2003-03-28,19000000,358110581,false,124,8.6,900032
tt0253474,https://www.imdb.com/title/tt0253474/,The Pianist,movie,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_.jpg,R,2002,,2003-03-28,35000000,120098945,false,150,8.5,960586
tt0172495,https://www.imdb.com/title/tt0172495/,Gladiator,movie,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_.jpg,R,2000,,2000-05-05,103000000,465516248,false,155,8.5,1743313
tt6751668,https://www.imdb.com/title/tt6751668/,Parasite,movie,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_.jpg,R,2019,,2019-11-08,11400000,262129969,false,132,8.5,1046291
tt0054215,https://www.imdb.com/title/tt0054215/,Psycho,movie,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_.jpg,R,1960,,1960-09-08,806947,32066765,false,109,8.5,747791
tt0110357,https://www.imdb.com/title/tt0110357/,The Lion King,movie,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_.jpg,G,1994,,1994-06-24,45000000,981708285,false,88,8.5,1193691
tt0095327,https://www.imdb.com/title/tt0095327/,Grave of the Fireflies,movie,A young boy and his little sister struggle to survive in Japan during World War II.,https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_.jpg,Not Rated,1988,,1989-07-26,3700000,801143,false,88,8.5,342596
tt0407887,https://www.imdb.com/title/tt0407887/,The Departed,movie,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_.jpg,R,2006,,2006-10-06,90000000,291481358,false,151,8.5,1477175
tt2582802,https://www.imdb.com/title/tt2582802/,Whiplash,movie,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,https://m.media-amazon.com/images/M/MV5BMmNkODhkYjctMDMyOC00ZTNjLTkwZTItM2ExMTAxMGU1ZGQ1XkEyXkFqcGc@._V1_.jpg,R,2014,,2014-10-15,3300000,50360880,false,106,8.5,1061145
tt0056058,https://www.imdb.com/title/tt0056058/,Harakiri,movie,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",https://m.media-amazon.com/images/M/MV5BZThiZjU5ZDQtZDI4Mi00ZGYyLTkzOTktYmIzZTFlZTkxYzg5XkEyXkFqcGc@._V1_.jpg,Not Rated,1962,,1964-08-04,0,15222,false,133,8.6,78218
tt0120586,https://www.imdb.com/title/tt0120586/,American History X,movie,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_.jpg,R,1998,,1998-11-20,20000000,23875714,false,119,8.5,1224909
tt0482571,https://www.imdb.com/title/tt0482571/,The Prestige,movie,Rival 19th-century magicians engage in a bitter battle for trade secrets.,https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_.jpg,PG-13,2006,,2006-10-20,40000000,109676311,false,130,8.5,1503357
tt0110413,https://www.imdb.com/title/tt0110413/,Léon: The Professional,movie,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_.jpg,R,1994,,1994-11-18,16000000,20278356,false,110,8.5,1294754
tt9362722,https://www.imdb.com/title/tt9362722/,Spider-Man: Across the Spider-Verse,movie,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",https://m.media-amazon.com/images/M/MV5BNThiZjA3MjItZGY5Ni00ZmJhLWEwN2EtOTBlYTA4Y2E0M2ZmXkEyXkFqcGc@._V1_.jpg,PG,2023,,2023-06-02,150000000,690824738,false,140,8.5,442389
tt0034583,https://www.imdb.com/title/tt0034583/,Casablanca,movie,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,https://m.media-amazon.com/images/M/MV5BNWEzN2U1YTYtYTQyMS00NTVkLWE2NGQtZWFlMmM0MDNjMmRiXkEyXkFqcGc@._V1_.jpg,PG,1942,,1943-01-23,950000,4720495,false,102,8.5,627818
tt0114814,https://www.imdb.com/title/tt0114814/,The Usual Suspects,movie,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_.jpg,R,1995,,1995-08-16,6000000,23341568,false,106,8.5,1183306
tt1675434,https://www.imdb.com/title/tt1675434/,The Intouchables,movie,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_.jpg,R,2011,,2011-11-02,9500000,426590315,false,112,8.5,970675
tt0095765,https://www.imdb.com/title/tt0095765/,Cinema Paradiso,movie,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_.jpg,PG,1988,,1990-02-23,5000000,13020497,false,174,8.5,298874
tt0027977,https://www.imdb.com/title/tt0027977/,Modern Times,movie,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,https://m.media-amazon.com/images/M/MV5BODVkZGFhNGQtYjdiYi00Njc4LWFmYTItNTlmNzJjMTg1ZDc5XkEyXkFqcGc@._V1_.jpg,G,1936,,1936-02-25,1500000,463618,false,87,8.5,270983
tt0078748,https://www.imdb.com/title/tt0078748/,Alien,movie,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_.jpg,R,1979,,1979-06-22,11000000,108610218,false,117,8.5,1008794
tt0047396,https://www.imdb.com/title/tt0047396/,Rear Window,movie,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,https://m.media-amazon.com/images/M/MV5BODZhOWI1ODgtMzdiOS00YjNkLTgwOGUtYmIyZDg5ZmQwMzQ1XkEyXkFqcGc@._V1_.jpg,PG,1954,,1954-09-01,1000000,37043820,false,112,8.5,542760
tt0064116,https://www.imdb.com/title/tt0064116/,Once Upon a Time in the West,movie,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,https://m.media-amazon.com/images/M/MV5BZjYyNGY1MDEtN2I1MC00MGVhLTljZTYtODQ1NzQ0ODc2NzZlXkEyXkFqcGc@._V1_.jpg,PG-13,1968,,1969-07-04,5000000,5435312,false,166,8.5,365457
tt1853728,https://www.imdb.com/title/tt1853728/,Django Unchained,movie,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_.jpg,R,2012,,2012-12-25,100000000,426076293,false,165,8.5,1774877
tt0021749,https://www.imdb.com/title/tt0021749/,City Lights,movie,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",https://m.media-amazon.com/images/M/MV5BM2U4NjgzODUtODkyOC00YTE2LTlhNTItYzFlYmM1NTEzZDA2XkEyXkFqcGc@._V1_.jpg,G,1931,,1931-03-07,1500000,55154,false,87,8.5,205554
tt0078788,https://www.imdb.com/title/tt0078788/,Apocalypse Now,movie,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_.jpg,R,1979,,1979-08-15,31500000,105090566,false,147,8.4,737184
tt15239678,https://www.imdb.com/title/tt15239678/,Dune: Part Two,movie,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_.jpg,PG-13,2024,,2024-03-01,190000000,714644358,false,166,8.5,611846
tt0209144,https://www.imdb.com/title/tt0209144/,Memento,movie,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",https://m.media-amazon.com/images/M/MV5BYmQ3MjliNjAtNWFiZS00YWI1LTlmZTktMzBiNDE1NjRhZjU0XkEyXkFqcGc@._V1_.jpg,R,2000,,2001-05-25,9000000,40047236,false,113,8.4,1370170
tt0910970,https://www.imdb.com/title/tt0910970/,WALL·E,movie,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_.jpg,G,2008,,2008-06-27,180000000,527403656,false,98,8.4,1251051
tt0082971,https://www.imdb.com/title/tt0082971/,Raiders of the Lost Ark,movie,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_.jpg,PG,1981,,1981-06-12,18000000,389925971,false,115,8.4,1068350
tt0405094,https://www.imdb.com/title/tt0405094/,The Lives of Others,movie,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",https://m.media-amazon.com/images/M/MV5BYjM1N2Q0YWEtN2E5MC00NDM3LTk2NTEtMTc1NTk5OTA5ZGIzXkEyXkFqcGc@._V1_.jpg,R,2006,,2007-03-30,2000000,77672685,false,137,8.4,425345
tt4154756,https://www.imdb.com/title/tt4154756/,Avengers: Infinity War,movie,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg,PG-13,2018,,2018-04-27,321000000,2052415039,false,149,8.4,1273515
tt0043014,https://www.imdb.com/title/tt0043014/,Sunset Boulevard,movie,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_.jpg,Approved,1950,,1950-08-04,1752000,308663,false,110,8.4,247303
tt4633694,https://www.imdb.com/title/tt4633694/,Spider-Man: Into the Spider-Verse,movie,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,PG,2018,,2018-12-14,90000000,393602435,false,117,8.4,721308
tt0050825,https://www.imdb.com/title/tt0050825/,Paths of Glory,movie,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,https://m.media-amazon.com/images/M/MV5BNmQ2NmI2ODYtMDQzNS00NzQyLTkzZjgtZmZlYTQ5MTc1OWU3XkEyXkFqcGc@._V1_.jpg,Approved,1957,,1957-12-25,935000,8290,false,88,8.4,224511
tt0051201,https://www.imdb.com/title/tt0051201/,Witness for the Prosecution,movie,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,https://m.media-amazon.com/images/M/MV5BNjRhNTQzMzQtMWViMi00ODQ1LTg0MTEtYWE4ZWZlYjM4YjJhXkEyXkFqcGc@._V1_.jpg,Approved,1957,,1958-02-06,3000000,7903,false,116,8.4,148508
